loss,learning_rate,epoch,step,eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3783,7.599486521181001e-05,0.24,187,,,,,,,,,,,,,,
0.3487,7.586649550706035e-05,0.24,188,,,,,,,,,,,,,,
0.2098,7.573812580231065e-05,0.24,189,,,,,,,,,,,,,,
0.2706,7.560975609756099e-05,0.24,190,,,,,,,,,,,,,,
0.2102,7.54813863928113e-05,0.25,191,,,,,,,,,,,,,,
0.2062,7.535301668806161e-05,0.25,192,,,,,,,,,,,,,,
0.1946,7.522464698331195e-05,0.25,193,,,,,,,,,,,,,,
0.3579,7.509627727856227e-05,0.25,194,,,,,,,,,,,,,,
0.2838,7.496790757381257e-05,0.25,195,,,,,,,,,,,,,,
0.1228,7.483953786906291e-05,0.25,196,,,,,,,,,,,,,,
0.2699,7.471116816431323e-05,0.25,197,,,,,,,,,,,,,,
0.2597,7.458279845956355e-05,0.25,198,,,,,,,,,,,,,,
0.2591,7.445442875481387e-05,0.26,199,,,,,,,,,,,,,,
0.371,7.432605905006419e-05,0.26,200,,,,,,,,,,,,,,
0.1628,7.419768934531451e-05,0.26,201,,,,,,,,,,,,,,
0.3594,7.406931964056483e-05,0.26,202,,,,,,,,,,,,,,
0.2785,7.394094993581515e-05,0.26,203,,,,,,,,,,,,,,
0.1174,7.381258023106547e-05,0.26,204,,,,,,,,,,,,,,
0.2698,7.368421052631579e-05,0.26,205,,,,,,,,,,,,,,
0.1482,7.355584082156611e-05,0.26,206,,,,,,,,,,,,,,
0.07,7.342747111681644e-05,0.27,207,,,,,,,,,,,,,,
0.3043,7.329910141206675e-05,0.27,208,,,,,,,,,,,,,,
0.1392,7.317073170731707e-05,0.27,209,,,,,,,,,,,,,,
0.1228,7.30423620025674e-05,0.27,210,,,,,,,,,,,,,,
0.1188,7.291399229781772e-05,0.27,211,,,,,,,,,,,,,,
0.2344,7.278562259306803e-05,0.27,212,,,,,,,,,,,,,,
0.174,7.265725288831836e-05,0.27,213,,,,,,,,,,,,,,
0.1147,7.252888318356869e-05,0.27,214,,,,,,,,,,,,,,
0.4516,7.2400513478819e-05,0.28,215,,,,,,,,,,,,,,
0.5445,7.227214377406933e-05,0.28,216,,,,,,,,,,,,,,
0.3339,7.214377406931965e-05,0.28,217,,,,,,,,,,,,,,
0.2193,7.201540436456997e-05,0.28,218,,,,,,,,,,,,,,
0.1563,7.188703465982029e-05,0.28,219,,,,,,,,,,,,,,
0.105,7.17586649550706e-05,0.28,220,,,,,,,,,,,,,,
0.1588,7.163029525032093e-05,0.28,221,,,,,,,,,,,,,,
0.3053,7.150192554557125e-05,0.28,222,,,,,,,,,,,,,,
0.1004,7.137355584082157e-05,0.29,223,,,,,,,,,,,,,,
0.2657,7.12451861360719e-05,0.29,224,,,,,,,,,,,,,,
0.3206,7.111681643132221e-05,0.29,225,,,,,,,,,,,,,,
0.2771,7.098844672657253e-05,0.29,226,,,,,,,,,,,,,,
0.3579,7.086007702182286e-05,0.29,227,,,,,,,,,,,,,,
0.0642,7.073170731707317e-05,0.29,228,,,,,,,,,,,,,,
0.1523,7.060333761232349e-05,0.29,229,,,,,,,,,,,,,,
0.0726,7.047496790757382e-05,0.3,230,,,,,,,,,,,,,,
0.2372,7.034659820282413e-05,0.3,231,,,,,,,,,,,,,,
0.1833,7.021822849807446e-05,0.3,232,,,,,,,,,,,,,,
0.1626,7.008985879332478e-05,0.3,233,,,,,,,,,,,,,,
0.0992,6.99614890885751e-05,0.3,234,,,,,,,,,,,,,,
0.1503,6.983311938382542e-05,0.3,235,,,,,,,,,,,,,,
0.3241,6.970474967907574e-05,0.3,236,,,,,,,,,,,,,,
0.2601,6.957637997432606e-05,0.3,237,,,,,,,,,,,,,,
